gbifID,datasetKey,class,order,family,genus,species,year,month,day,decimalLongitude,decimalLatitude
5087649733,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,2025,3,10,23.373767,40.687207
4014864440,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,2021,5,29,23.361755,40.665415
3346832478,d8cd16ba-bb74-4420-821e-083f2bac17c2,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,2007,2,22,23.54,40.66
2429267341,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,2019,9,14,23.67356,40.948677
1804039970,dc3bfd08-0141-45ae-9603-91ac50cdc33b,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,1976,1,10,23.5,40.6667
1262935657,c2e3081a-ba91-40cf-b2df-9885a24b37dc,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,2013,1,31,23.5,40.68
5903969816,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides economoui,2025,11,12,22.488685,38.894351
5133418953,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides economoui,2025,4,11,22.28866,38.90594
3774904452,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,2011,9,26,21.0771,40.788
3346829472,d8cd16ba-bb74-4420-821e-083f2bac17c2,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,2010,4,28,21.08,40.75
1609380321,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,2012,,,20.610744,40.063789
1609379403,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.09,39.84
1609379391,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.15,39.82
1609379368,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.06,39.84
1609379359,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.08,39.83
1609379346,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.12,39.83
1609379327,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.07,39.84
1609379301,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.08,39.81
1609379292,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.1,39.85
1609379279,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides prespensis,1997,,,21.12,39.82
3774915003,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2005,5,30,23.5874,41.1005
3774912498,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2011,9,27,24.2627,41.058
1609380316,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.794081,40.879194
1609380275,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.066208,41.398506
1609380272,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2012,,,23.339242,41.310719
1609380271,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.481619,41.2918
1609380257,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.207994,41.353892
1609380252,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.697183,41.191011
1609380242,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.097083,41.420525
1609380241,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2012,,,24.046831,41.031503
1609380230,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.538069,41.265911
1609380219,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.102067,41.405875
1609380216,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,2006,,,24.774889,41.083967
5133409069,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2025,4,11,22.01116,39.55958
3903036159,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2022,8,19,22.116472,40.90748
3902490261,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2022,8,17,22.105757,40.937728
3774916430,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2011,11,25,21.1808,40.1929
3774916052,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2005,5,29,24.2677,41.0663
3774915155,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2011,9,28,22.2936,39.8074
3774911741,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2005,5,26,22.5273,39.8615
3774909803,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2011,9,27,24.2622,41.0584
3774909392,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2011,9,27,22.5581,40.9874
3774895062,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2005,5,26,22.4012,39.7745
3355362523,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2021,7,24,21.547918,39.606692
2429518556,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2011,9,16,21.419732,40.319153
1804038129,dc3bfd08-0141-45ae-9603-91ac50cdc33b,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1977,8,9,22.4167,38.9167
1609380350,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.810381,39.476211
1609380341,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.560842,40.052172
1609380314,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.328353,40.548711
1609380294,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.592536,39.719736
1609380292,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.404769,39.812289
1609380289,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.351303,40.389542
1609380287,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.772369,39.530003
1609380281,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.478269,39.151153
1609380280,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.71415,40.551311
1609380273,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.489311,39.831114
1609380262,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.46185,40.585275
1609380258,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.94625,39.530928
1609380249,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.370997,39.779592
1609380245,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.223442,39.653106
1609380239,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.6656,41.048194
1609380237,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,21.703558,39.533033
1609380234,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.391586,39.788944
1609380199,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2012,,,22.602739,39.889017
1609380101,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.25,39.95
1609380081,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.69,39.96
1609380073,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.67,39.92
1609380060,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.72,39.96
1609380050,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.81,40.01
1609380035,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.3,40
1609380032,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.68,39.93
1609380028,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.63,39.97
1609380023,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.45,39.94
1609380018,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.48,40.05
1609380008,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.56,40.02
1609380002,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.39,39.96
1609379999,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.52,40.1
1609379997,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.66,39.97
1609379985,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.4,40.02
1609379969,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.29,40.04
1609379963,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.52,40.16
1609379958,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.56,40.05
1609379955,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.4,40.34
1609379954,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.38,39.99
1609379928,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.56,40.16
1609379924,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.51,40.11
1609379921,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.5,40.82
1609379920,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.48,40.25
1609379906,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.4,40.35
1609379905,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.48,40.24
1609379897,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.52,40.21
1609379896,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.45,40.24
1609379886,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.25,40.46
1609379878,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.18,40.19
1609379870,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.35,40.39
1609379868,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.07,40.41
1609379853,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,1894,,,21.25,40.22
1609379828,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2007,,,21.54,40.82
1609379822,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.18,40.66
1609379818,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.18,40.54
1609379817,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2009,,,21.58,40.84
1609379814,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.18,40.55
1609379803,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2008,,,21.24,40.47
1609378919,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,2001,,,22.49,39.16
5890018461,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2025,10,25,23.197889,41.242795
5759918370,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2025,8,27,26.474502,41.652801
5026520696,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2023,9,17,25.121693,41.006996
5015296164,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2018,9,13,20.621412,39.60043
